,v_num,v_name,erup_num,erup_cat,vei,start_y,start_m,start_d,end_y,end_m,end_d,lat,long,start,end,delta
78,290240,Sarychev Peak,22308,Confirmed Eruption,2.0,2017,10,12,2017,11,13,48.092,153.2,2017-10-12,2017-11-13,32 days 00:00:00.000000000
79,282090,Kirishimayama,22242,Confirmed Eruption,2.0,2017,10,11,2017,10,17,31.934,130.862,2017-10-11,2017-10-17,6 days 00:00:00.000000000
80,257030,Ambae,22240,Confirmed Eruption,3.0,2017,9,6,2018,10,30,-15.389,167.835,2017-09-06,2018-10-30,419 days 00:00:00.000000000
81,353010,Fernandina,22245,Confirmed Eruption,2.0,2017,9,4,2017,9,7,-0.37,-91.55,2017-09-04,2017-09-07,3 days 00:00:00.000000000
82,344020,San Cristobal,22252,Confirmed Eruption,3.0,2017,8,18,2017,11,11,12.702,-87.004,2017-08-18,2017-11-11,85 days 00:00:00.000000000
83,261170,Kerinci,22273,Confirmed Eruption,1.0,2017,8,13,2017,8,13,-1.697,101.264,2017-08-13,2017-08-13,0 days 00:00:00.000000000
84,352090,Sangay,22231,Confirmed Eruption,2.0,2017,7,20,2017,10,26,-2.005,-78.341,2017-07-20,2017-10-26,98 days 00:00:00.000000000
85,264050,Sangeang Api,22228,Confirmed Eruption,2.0,2017,7,15,2020,2,11,-8.2,119.07,2017-07-15,2020-02-11,941 days 00:00:00.000000000
86,233020,"Fournaise, Piton de la",22224,Confirmed Eruption,0.0,2017,7,14,2017,8,28,-21.244,55.708,2017-07-14,2017-08-28,45 days 00:00:00.000000000
87,252120,Ulawun,22225,Confirmed Eruption,1.0,2017,6,11,2017,11,3,-5.05,151.33,2017-06-11,2017-11-03,145 days 00:00:00.000000000
88,273010,Bulusan,22229,Confirmed Eruption,1.0,2017,6,5,2017,6,5,12.769,124.056,2017-06-05,2017-06-05,0 days 00:00:00.000000000
89,261140,Marapi,22226,Confirmed Eruption,1.0,2017,6,4,2017,6,4,-0.38,100.474,2017-06-04,2017-06-04,0 days 00:00:00.000000000
90,300130,Karymsky,22230,Confirmed Eruption,3.0,2017,6,4,2018,1,27,54.049,159.443,2017-06-04,2018-01-27,237 days 00:00:00.000000000
91,357090,Copahue,22232,Confirmed Eruption,1.0,2017,6,4,2018,12,7,-37.856,-71.183,2017-06-04,2018-12-07,551 days 00:00:00.000000000
92,345020,Rincon de la Vieja,22208,Confirmed Eruption,2.0,2017,5,23,2018,3,15,10.83,-85.324,2017-05-23,2018-03-15,296 days 00:00:00.000000000
93,267020,Karangetang,22212,Uncertain Eruption,,2017,5,10,2017,5,10,2.781,125.407,2017-05-10,2017-05-10,0 days 00:00:00.000000000
94,263200,Dieng Volcanic Complex,22227,Confirmed Eruption,1.0,2017,4,30,2017,7,2,-7.2,109.879,2017-04-30,2017-07-02,63 days 00:00:00.000000000
95,284096,Nishinoshima,22207,Confirmed Eruption,2.0,2017,4,18,2017,8,17,27.247,140.874,2017-04-18,2017-08-17,121 days 00:00:00.000000000
96,345040,Poas,22209,Confirmed Eruption,1.0,2017,4,12,2017,11,6,10.2,-84.233,2017-04-12,2017-11-06,208 days 00:00:00.000000000
97,222120,"Lengai, Ol Doinyo",22284,Confirmed Eruption,0.0,2017,4,9,2020,2,3,-2.764,35.914,2017-04-09,2020-02-03,1030 days 00:00:00.000000000
98,360160,Kick 'em Jenny,22260,Confirmed Eruption,0.0,2017,3,29,2017,3,29,12.3,-61.64,2017-03-29,2017-03-29,0 days 00:00:00.000000000
99,282080,Aira,22203,Confirmed Eruption,1.0,2017,3,25,2020,2,19,31.593,130.657,2017-03-25,2020-02-19,1061 days 00:00:00.000000000
100,300010,Kambalny,22198,Confirmed Eruption,3.0,2017,3,24,2017,4,10,51.306,156.875,2017-03-24,2017-04-10,17 days 00:00:00.000000000
101,264100,Ebulobo,22211,Uncertain Eruption,,2017,3,12,2017,3,12,-8.817,121.191,2017-03-12,2017-03-12,0 days 00:00:00.000000000
102,262000,Krakatau,22188,Confirmed Eruption,1.0,2017,2,19,2017,2,19,-6.102,105.423,2017-02-19,2017-02-19,0 days 00:00:00.000000000
103,344020,San Cristobal,22269,Confirmed Eruption,1.0,2017,2,18,2017,4,19,12.702,-87.004,2017-02-18,2017-04-19,60 days 00:00:00.000000000
104,233020,"Fournaise, Piton de la",22184,Confirmed Eruption,0.0,2017,1,31,2017,2,27,-21.244,55.708,2017-01-31,2017-02-27,27 days 00:00:00.000000000
105,243030,Unnamed,22185,Confirmed Eruption,0.0,2017,1,23,2017,1,31,-20.852,-175.55,2017-01-23,2017-01-31,8 days 00:00:00.000000000
106,260010,Barren Island,22187,Confirmed Eruption,2.0,2017,1,15,2017,5,16,12.278,93.858,2017-01-15,2017-05-16,121 days 00:00:00.000000000
107,343100,San Miguel,22192,Confirmed Eruption,1.0,2017,1,7,2017,1,7,13.434,-88.269,2017-01-07,2017-01-07,0 days 00:00:00.000000000
108,311300,Bogoslof,22182,Confirmed Eruption,3.0,2016,12,20,2017,8,30,53.93,-168.03,2016-12-20,2017-08-30,253 days 00:00:00.000000000
109,290260,Chirinkotan,22175,Confirmed Eruption,3.0,2016,11,29,2017,4,7,48.98,153.48,2016-11-29,2017-04-07,129 days 00:00:00.000000000
110,223020,Nyamuragira,22202,Confirmed Eruption,0.0,2016,11,27,2017,5,2,-1.408,29.2,2016-11-27,2017-05-02,156 days 00:00:00.000000000
111,300120,Zhupanovsky,22177,Confirmed Eruption,2.0,2016,11,20,2016,11,20,53.589,159.15,2016-11-20,2016-11-20,0 days 00:00:00.000000000
112,261170,Kerinci,22172,Confirmed Eruption,1.0,2016,11,15,2016,11,21,-1.697,101.264,2016-11-15,2016-11-21,6 days 00:00:00.000000000
113,354006,Sabancaya,22158,Confirmed Eruption,3.0,2016,11,6,2020,2,19,-15.787,-71.857,2016-11-06,2020-02-19,1200 days 00:00:00.000000000
114,290380,Ebeko,22176,Confirmed Eruption,2.0,2016,10,20,2020,2,19,50.686,156.014,2016-10-20,2020-02-19,1217 days 00:00:00.000000000
115,252120,Ulawun,22171,Confirmed Eruption,1.0,2016,10,11,2016,11,18,-5.05,151.33,2016-10-11,2016-11-18,38 days 00:00:00.000000000
116,282110,Asosan,22174,Confirmed Eruption,3.0,2016,10,7,2016,11,12,32.884,131.104,2016-10-07,2016-11-12,36 days 00:00:00.000000000
117,300130,Karymsky,22178,Confirmed Eruption,2.0,2016,10,5,2016,10,8,54.049,159.443,2016-10-05,2016-10-08,3 days 00:00:00.000000000
118,222120,"Lengai, Ol Doinyo",22305,Confirmed Eruption,,2016,9,21,2016,10,13,-2.764,35.914,2016-09-21,2016-10-13,22 days 00:00:00.000000000
119,241040,White Island,22147,Confirmed Eruption,1.0,2016,9,13,2016,9,13,-37.52,177.18,2016-09-13,2016-09-13,0 days 00:00:00.000000000
120,354020,Ubinas,22181,Confirmed Eruption,2.0,2016,9,13,2017,3,2,-16.355,-70.903,2016-09-13,2017-03-02,170 days 00:00:00.000000000
121,233020,"Fournaise, Piton de la",22145,Confirmed Eruption,0.0,2016,9,11,2016,9,18,-21.244,55.708,2016-09-11,2016-09-18,7 days 00:00:00.000000000
122,268060,Gamalama,22150,Confirmed Eruption,1.0,2016,8,3,2016,8,4,0.8,127.33,2016-08-03,2016-08-04,1 days 00:00:00.000000000
123,264030,Rinjani,22149,Confirmed Eruption,2.0,2016,8,1,2016,9,27,-8.42,116.47,2016-08-01,2016-09-27,57 days 00:00:00.000000000
124,290360,Chikurachki,22153,Confirmed Eruption,2.0,2016,7,27,2016,8,18,50.324,155.461,2016-07-27,2016-08-18,22 days 00:00:00.000000000
125,343100,San Miguel,22154,Confirmed Eruption,1.0,2016,6,18,2016,6,18,13.434,-88.269,2016-06-18,2016-06-18,0 days 00:00:00.000000000
126,273010,Bulusan,22151,Confirmed Eruption,2.0,2016,6,10,2017,3,2,12.769,124.056,2016-06-10,2017-03-02,265 days 00:00:00.000000000
127,345040,Poas,22156,Confirmed Eruption,1.0,2016,6,5,2016,8,16,10.2,-84.233,2016-06-05,2016-08-16,72 days 00:00:00.000000000
128,233020,"Fournaise, Piton de la",22144,Confirmed Eruption,0.0,2016,5,26,2016,5,27,-21.244,55.708,2016-05-26,2016-05-27,1 days 00:00:00.000000000
129,241040,White Island,22121,Confirmed Eruption,1.0,2016,4,27,2016,4,27,-37.52,177.18,2016-04-27,2016-04-27,0 days 00:00:00.000000000
130,390080,Bristol Island,22133,Confirmed Eruption,1.0,2016,4,24,2016,7,19,-59.017,-26.533,2016-04-24,2016-07-19,86 days 00:00:00.000000000
131,344020,San Cristobal,22130,Confirmed Eruption,2.0,2016,4,22,2016,4,22,12.702,-87.004,2016-04-22,2016-04-22,0 days 00:00:00.000000000
