,Unnamed: 0,v_num,v_name,erup_num,erup_cat,vei,start_y,start_m,start_d,end_y,end_m,end_d,lat,lon,start,end,delta,start_img,sat_lats,sat_lons,start_img_available_in_api
39,39,268060,Gamalama,22295,Confirmed Eruption,1.0,2018,10,4,2018,10,6,0.8,127.33,2018-10-04,2018-10-06,2 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/10/04/thumbs/epic_1b_20181004004554.jpg,1.713867,163.015137,13
40,40,266030,Soputan,22293,Confirmed Eruption,3.0,2018,10,2,2018,12,16,1.112,124.73700000000001,2018-10-02,2018-12-16,75 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/10/02/thumbs/epic_1b_20181002000830.jpg,2.365723,171.789551,13
41,41,260010,Barren Island,22292,Confirmed Eruption,1.0,2018,9,25,2020,2,16,12.277999999999999,93.85799999999999,2018-09-25,2020-02-16,509 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/09/25/thumbs/epic_1b_20180925000830.jpg,4.401855,170.075684,13
42,42,252120,Ulawun,22286,Confirmed Eruption,2.0,2018,9,21,2018,10,12,-5.05,151.33,2018-09-21,2018-10-12,21 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/09/21/thumbs/epic_1b_20180921010436.jpg,5.339355,155.302734,13
43,43,290200,Ketoi,22287,Uncertain Eruption,1.0,2018,9,21,2018,9,21,47.35,152.475,2018-09-21,2018-09-21,0 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/09/21/thumbs/epic_1b_20180921010436.jpg,5.339355,155.302734,13
44,44,290240,Sarychev Peak,22288,Confirmed Eruption,2.0,2018,9,8,2018,10,15,48.092,153.2,2018-09-08,2018-10-15,37 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/09/08/thumbs/epic_1b_20180908005515.jpg,7.954102,155.874023,13
45,45,311060,Semisopochnoi,22289,Confirmed Eruption,1.0,2018,9,8,2018,10,31,51.93,179.58,2018-09-08,2018-10-31,53 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/09/08/thumbs/epic_1b_20180908005515.jpg,7.954102,155.874023,13
46,46,312070,Veniaminof,22290,Confirmed Eruption,1.0,2018,9,4,2018,12,23,56.17,-159.38,2018-09-04,2018-12-23,110 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/09/04/thumbs/epic_1b_20180904000830.jpg,8.569336,167.387695,8
47,47,290390,Alaid,22281,Confirmed Eruption,1.0,2018,8,20,2018,8,21,50.861000000000004,155.565,2018-08-20,2018-08-21,1 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/08/20/thumbs/epic_1b_20180820001751.jpg,10.231934,166.765137,22
48,48,352090,Sangay,22283,Confirmed Eruption,2.0,2018,8,8,2018,12,7,-2.005,-78.34100000000001,2018-08-08,2018-12-07,121 days 00:00:00.000000000,https://epic.gsfc.nasa.gov/archive/natural/2018/08/08/thumbs/epic_1b_20180808002713.jpg,11.608887,167.028809,20
